train_loss,train_acc,val_loss,val_acc
22.160993209058176,5.695181041630787,21.15384499069453,10.086432817482581
24.435147604201756,10.156459456724187,25.00190466833342,11.62049104067385
25.577550433209726,12.191835060625376,25.803620310052906,12.876146104841515
26.38740611637842,13.501996580334616,28.3027873768424,13.815756766546167
26.975297240769876,14.490698900771111,30.475726011692732,13.504683849065716
18.69904708613056,22.12883935562567,22.025587882380194,18.48114031661257
16.667023822091622,23.742616026263597,21.072471283642006,19.080559363081754
15.663329045314219,24.40435501311227,19.201100760279825,19.444898191089678
14.952594434587471,24.83278972608942,19.114961065289325,19.28225961094579
14.402828447094242,25.216925035466154,18.018858521289648,19.63381462042712
13.477214724478209,26.523535500778568,18.28679684025947,20.14445714935051
13.308976497112637,26.749915218576277,18.213626185050746,20.559931251464814
13.22950313585102,26.77423994119454,17.358414682467615,20.366043337144806
13.151412435906952,26.861240773916794,17.575476690629102,20.36462291286407
13.080478249542795,26.866833684591796,18.09105129801016,20.20837624198348
12.97258398450981,27.096231798626807,17.794628501290546,20.39161097419799
12.941638048045801,27.108216607216097,17.607727093903538,20.62811161693998
12.949195282963379,27.07678977580418,18.16174301670996,20.372435246408102
12.9325408358211,27.13777913506968,17.658876909664666,20.61674822269412
12.918697203537581,27.145058796583175,17.824651017023253,20.54501679651712
